11658,Rasha Elham Karakchi (P) ,16,520,Fall,2015,CSCE
11660,Rasha Elham Karakchi (P) ,3,520,Fall,2015,CSCE
11663,Rasha Elham Karakchi (P) ,4,520,Fall,2015,CSCE
11668,Phani Krishna Penumarthi (P) ,8,520,Fall,2015,CSCE
11670,Phani Krishna Penumarthi (P) ,17,520,Fall,2015,CSCE
11671,Phani Krishna Penumarthi (P) ,12,520,Fall,2015,CSCE
11675,Allen Jeevan Kanapala (P) ,16,520,Fall,2015,CSCE
11678,Allen Jeevan Kanapala (P) ,14,520,Fall,2015,CSCE
11681,Allen Jeevan Kanapala (P) ,16,520,Fall,2015,CSCE
11686,Md Modasshir (P) ,5,520,Fall,2015,CSCE
11691,Md Modasshir (P) ,7,520,Fall,2015,CSCE
11693,Robert Lawrence Ellis (P) ,14,520,Fall,2015,CSCE
11703,Robert Lawrence Ellis (P) ,6,520,Fall,2015,CSCE
11713,Robert Lawrence Ellis (P) ,15,520,Fall,2015,CSCE
11715,Nawras Alkassab (P) ,17,520,Fall,2015,CSCE
11739,Nawras Alkassab (P) ,9,520,Fall,2015,CSCE
11852,Catherine T Matthews (P) ,23,520,Fall,2015,CSCE
11853,Catherine T Matthews (P) ,25,520,Fall,2015,CSCE
11854,Catherine T Matthews (P) ,24,520,Fall,2015,CSCE
11855,Neema Jeevan Kanapala (P) ,22,520,Fall,2015,CSCE
11856,Neema Jeevan Kanapala (P) ,24,520,Fall,2015,CSCE
11858,Neema Jeevan Kanapala (P) ,24,520,Fall,2015,CSCE
11861,Catherine T Matthews (P) ,19,520,Fall,2015,CSCE
11864,Catherine T Matthews (P) ,24,520,Fall,2015,CSCE
11868,Catherine T Matthews (P) ,24,520,Fall,2015,CSCE
11872,Neema Jeevan Kanapala (P) ,22,520,Fall,2015,CSCE
11873,Neema Jeevan Kanapala ,23,520,Fall,2015,CSCE
11875,Neema Jeevan Kanapala (P) ,22,520,Fall,2015,CSCE
11876,Mohammed Behbooei (P) ,17,520,Fall,2015,CSCE
11877,Mohammed Behbooei (P) ,11,520,Fall,2015,CSCE
11879,Mohammed Behbooei (P) ,4,520,Fall,2015,CSCE
11880,Alireza Nasiri (P) ,12,520,Fall,2015,CSCE
11881,Mingxiang Zhu (P) ,27,520,Fall,2015,CSCE
11882,Nicholas Michael Stiffler (P) ,30,520,Fall,2015,CSCE
11891,John R. Rose (P) ,65,520,Fall,2015,CSCE
11893,Jeremiah Jeffrey Shepherd (P) ,22,520,Fall,2015,CSCE
11895,Jeremiah Jeffrey Shepherd (P) ,24,520,Fall,2015,CSCE
11896,Jeremiah Jeffrey Shepherd (P) ,22,520,Fall,2015,CSCE
11897,Jeremiah Jeffrey Shepherd (P) ,22,520,Fall,2015,CSCE
11898,Jeremiah Jeffrey Shepherd (P) ,18,520,Fall,2015,CSCE
11901,Jeremiah Jeffrey Shepherd (P) ,22,520,Fall,2015,CSCE
11903,Jeremiah Jeffrey Shepherd (P) ,13,520,Fall,2015,CSCE
11906,Jeremiah Jeffrey Shepherd (P) ,21,520,Fall,2015,CSCE
11915,Jeremiah Jeffrey Shepherd (P) ,20,520,Fall,2015,CSCE
12852,Jenay Michelle Beer (P) ,1,520,Fall,2015,CSCE
12854,Jason Daniel Bakos (P) ,1,520,Fall,2015,CSCE
12856,Jenay Michelle Beer (P) ,0,520,Fall,2015,CSCE
12858,Duncan A. Buell (P) ,0,520,Fall,2015,CSCE
12859,Caroline Merriam Eastman (P) ,0,520,Fall,2015,CSCE
12861,Csilla Farkas (P) ,2,520,Fall,2015,CSCE
12862,Stephen A. Fenner (P) ,0,520,Fall,2015,CSCE
12863,Gregory James Gay (P) ,0,520,Fall,2015,CSCE
12864,Chin-Tser Huang (P) ,2,520,Fall,2015,CSCE
12868,Michael N. Huhns (P) ,0,520,Fall,2015,CSCE
12870,Manton M. Matthews (P) ,1,520,Fall,2015,CSCE
12873,Srihari Nelakuditi (P) ,0,520,Fall,2015,CSCE
12874,Jason Matthew Okane (P) ,0,520,Fall,2015,CSCE
12877,Ioannis M Rekleitis (P) ,1,520,Fall,2015,CSCE
12878,John R. Rose (P) ,1,520,Fall,2015,CSCE
12881,Jijun Tang (P) ,2,520,Fall,2015,CSCE
12883,Marco Valtorta (P) ,317,520,Fall,2015,CSCE
12885,Gabriel Alin Terejanu (P) ,2,520,Fall,2015,CSCE
12886,Matt Eric Thatcher (P) ,0,520,Fall,2015,CSCE
12891,Yan Tong (P) ,2,520,Fall,2015,CSCE
12896,Homayoun Valafar (P) ,1,520,Fall,2015,CSCE
12901,Marco Valtorta (P) ,1,520,Fall,2015,CSCE
12905,Jose M Vidal (P) ,1,520,Fall,2015,CSCE
12913,Jason Daniel Bakos (P) ,0,520,Fall,2015,CSCE
12917,Christine M.G. Brown (P) ,16,520,Fall,2015,CSCE
12922,Jenay Michelle Beer (P) ,0,520,Fall,2015,CSCE
12932,Duncan A. Buell (P) ,0,520,Fall,2015,CSCE
12936,Caroline Merriam Eastman (P) ,0,520,Fall,2015,CSCE
12939,Csilla Farkas (P) ,0,520,Fall,2015,CSCE
12943,Stephen A. Fenner (P) ,0,520,Fall,2015,CSCE
12946,Gregory James Gay (P) ,2,520,Fall,2015,CSCE
12947,Yan Zhang (P) ,41,520,Fall,2015,CSCE
12953,Chin-Tser Huang (P) ,0,520,Fall,2015,CSCE
12956,Michael N. Huhns (P) ,0,520,Fall,2015,CSCE
12959,Manton M. Matthews (P) ,0,520,Fall,2015,CSCE
12961,Matt Eric Thatcher (P) ,53,520,Fall,2015,CSCE
12964,Srihari Nelakuditi (P) ,0,520,Fall,2015,CSCE
12968,Jason Matthew Okane (P) ,0,520,Fall,2015,CSCE
12974,Ioannis M Rekleitis (P) ,2,520,Fall,2015,CSCE
12983,John R. Rose (P) ,1,520,Fall,2015,CSCE
12986,Jijun Tang (P) ,0,520,Fall,2015,CSCE
12989,Gabriel Alin Terejanu (P) ,1,520,Fall,2015,CSCE
12992,Matt Eric Thatcher (P) ,1,520,Fall,2015,CSCE
12993,Yan Tong (P) ,1,520,Fall,2015,CSCE
12994,Homayoun Valafar (P) ,0,520,Fall,2015,CSCE
12995,Chin-Tser Huang (P) ,62,520,Fall,2015,CSCE
12997,Marco Valtorta (P) ,0,520,Fall,2015,CSCE
12998,Jose M Vidal (P) ,0,520,Fall,2015,CSCE
13000,Jason Daniel Bakos (P) ,2,520,Fall,2015,CSCE
13001,Jenay Michelle Beer (P) ,2,520,Fall,2015,CSCE
13003,Duncan A. Buell (P) ,0,520,Fall,2015,CSCE
13004,Caroline Merriam Eastman (P) ,0,520,Fall,2015,CSCE
13006,Song Wang (P) ,61,520,Fall,2015,CSCE
13007,Csilla Farkas (P) ,6,520,Fall,2015,CSCE
13008,Stephen A. Fenner (P) ,0,520,Fall,2015,CSCE
13011,Gregory James Gay (P) ,0,520,Fall,2015,CSCE
13012,Chin-Tser Huang (P) ,2,520,Fall,2015,CSCE
13014,Michael N. Huhns (P) ,0,520,Fall,2015,CSCE
13016,Manton M. Matthews (P) ,0,520,Fall,2015,CSCE
13018,Duncan A. Buell (P) ,51,520,Fall,2015,CSCE
13019,Srihari Nelakuditi (P) ,1,520,Fall,2015,CSCE
13020,Jason Matthew Okane (P) ,1,520,Fall,2015,CSCE
13022,Ioannis M Rekleitis (P) ,0,520,Fall,2015,CSCE
13023,John R. Rose (P) ,1,520,Fall,2015,CSCE
13024,Marco Valtorta (P) ,49,520,Fall,2015,CSCE
13025,Jijun Tang (P) ,4,520,Fall,2015,CSCE
13026,Gabriel Alin Terejanu (P) ,3,520,Fall,2015,CSCE
13028,Matt Eric Thatcher (P) ,0,520,Fall,2015,CSCE
13031,Yan Tong (P) ,3,520,Fall,2015,CSCE
13032,Homayoun Valafar (P) ,3,520,Fall,2015,CSCE
13034,Marco Valtorta (P) ,0,520,Fall,2015,CSCE
13035,Marco Valtorta (P) ,78,520,Fall,2015,CSCE
13036,Jose M Vidal (P) ,3,520,Fall,2015,CSCE
13039,Srihari Nelakuditi (P) ,53,520,Fall,2015,CSCE
13041,Manton M. Matthews (P) ,61,520,Fall,2015,CSCE
13042,Manton M. Matthews (P) ,2,520,Fall,2015,CSCE
13074,Csilla Farkas (P) ,57,520,Fall,2015,CSCE
13075,Csilla Farkas (P) ,3,520,Fall,2015,CSCE
13079,Jason Daniel Bakos (P) ,34,520,Fall,2015,CSCE
13087,Jason Matthew Okane (P) ,50,520,Fall,2015,CSCE
14111,Duncan A. Buell (P) ,46,520,Fall,2015,CSCE
14324,Stephen A. Fenner (P) ,53,520,Fall,2015,CSCE
14328,Stephen A. Fenner (P) ,2,520,Fall,2015,CSCE
14536,Jose M Vidal (P) ,119,520,Fall,2015,CSCE
14537,Veronica L. Wilkinson (P) ,20,520,Fall,2015,CSCE
14538,Daniel J Pade (P) ,72,520,Fall,2015,CSCE
14539,Patrick B. O'Keefe (P) ,16,520,Fall,2015,CSCE
14543,Patrick B. O'Keefe (P) ,15,520,Fall,2015,CSCE
14544,Patrick B. O'Keefe (P) ,12,520,Fall,2015,CSCE
14545,Patrick B. O'Keefe (P) ,14,520,Fall,2015,CSCE
15572,Jijun Tang (P) ,25,520,Fall,2015,CSCE
15918,William Henry Hoskins (P) ,47,520,Fall,2015,CSCE
15919,Homayoun Valafar (P) ,58,520,Fall,2015,CSCE
16020,Jose M Vidal (P) ,20,520,Fall,2015,CSCE
16041,Gabriel Alin Terejanu (P) ,35,520,Fall,2015,CSCE
16999,Csilla Farkas (P) ,9,520,Fall,2015,CSCE
17015,Madushan Thilina Abeysinghe (P) ,49,520,Fall,2015,CSCE
17016,Jeremiah Jeffrey Shepherd (P) ,26,520,Fall,2015,CSCE
17199,Patrick B. O'Keefe (P) ,10,520,Fall,2015,CSCE
17200,Patrick B. O'Keefe (P) ,3,520,Fall,2015,CSCE
17201,Patrick B. O'Keefe (P) ,2,520,Fall,2015,CSCE
17206,Dazhou Guo (P) ,30,520,Fall,2015,CSCE
17209,Jason Matthew Okane (P) ,5,520,Fall,2015,CSCE
17211,Gabriel Alin Terejanu (P) ,28,520,Fall,2015,CSCE
17775,Jijun Tang (P) ,1,520,Fall,2015,CSCE
17933,Ahmed Shehab Khan (P) ,46,520,Fall,2015,CSCE
17934,Casey Anne Cole (P) ,32,520,Fall,2015,CSCE
17955,Jenay Michelle Beer (P) ,43,520,Fall,2015,CSCE
17956,James Patrick Brubaker (P) ,22,520,Fall,2015,CSCE
18439,Alberto Quattrini Li (P) ,36,520,Fall,2015,CSCE
18672,Aaron Ray Hein (P) ,41,520,Fall,2015,CSCE
18746,Jeremiah Jeffrey Shepherd (P) ,21,520,Fall,2015,CSCE
19530,Chin-Tser Huang (P) ,22,520,Fall,2015,CSCE
19533,John R. Rose (P) ,21,520,Fall,2015,CSCE
19534,John R. Rose (P) ,1,520,Fall,2015,CSCE
19536,Jenay Michelle Beer (P) ,1,520,Fall,2015,CSCE
19648,Gregory James Gay (P) ,20,520,Fall,2015,CSCE
19649,Gregory James Gay (P) ,2,520,Fall,2015,CSCE
19904,Jianjun Hu (P) ,2,520,Fall,2015,CSCE
19907,Song Wang (P) ,3,520,Fall,2015,CSCE
19913,Jianjun Hu (P) ,0,520,Fall,2015,CSCE
19915,Song Wang (P) ,0,520,Fall,2015,CSCE
19945,Jianjun Hu (P) ,2,520,Fall,2015,CSCE
19946,Song Wang (P) ,4,520,Fall,2015,CSCE
22595,Nicholas Michael Stiffler (P) ,34,520,Fall,2015,CSCE
22873,Alberto Quattrini Li (P) ,16,520,Fall,2015,CSCE
23120,Md Modasshir (P) ,5,520,Fall,2015,CSCE
23128,Nicholas Michael Stiffler (P) ,11,520,Fall,2015,CSCE
23130,Nicholas Michael Stiffler (P) ,21,520,Fall,2015,CSCE
23131,Nicholas Michael Stiffler (P) ,21,520,Fall,2015,CSCE
23132,Alireza Nasiri (P) ,8,520,Fall,2015,CSCE
24420,Nicholas Michael Stiffler (P) ,24,520,Fall,2015,CSCE
24421,Nicholas Michael Stiffler (P) ,23,520,Fall,2015,CSCE
24422,Nicholas Michael Stiffler (P) ,21,520,Fall,2015,CSCE
24423,Nicholas Michael Stiffler (P) ,20,520,Fall,2015,CSCE
24424,Nicholas Michael Stiffler (P) ,15,520,Fall,2015,CSCE
24458,Wenyuan Xu (P) ,1,520,Fall,2015,CSCE
24459,Wenyuan Xu (P) ,0,520,Fall,2015,CSCE
24467,Wenyuan Xu (P) ,3,520,Fall,2015,CSCE
24829,Ioannis M Rekleitis (P) ,6,520,Fall,2015,CSCE
24832,Ioannis M Rekleitis (P) ,0,520,Fall,2015,CSCE
24840,Veronica L. Wilkinson (P) ,1,520,Fall,2015,CSCE
24849,Chin-Tser Huang (P) ,8,520,Fall,2015,CSCE
24989,Jeremiah Jeffrey Shepherd (P) ,22,520,Fall,2015,CSCE
25064,Alireza Nasiri (P) ,4,520,Fall,2015,CSCE
27129,Jeremiah Jeffrey Shepherd (P) ,4,520,Fall,2015,CSCE
27162,Sreenivasara Guntupalli (P) ,9,520,Fall,2015,CSCE
27163,Sreenivasara Guntupalli (P) ,7,520,Fall,2015,CSCE
27165,Yan Tong (P) ,23,520,Fall,2015,CSCE
27166,Yan Tong (P) ,2,520,Fall,2015,CSCE
27584,Wenyuan Xu (P) ,3,520,Fall,2015,CSCE
27588,Wenyuan Xu (P) ,0,520,Fall,2015,CSCE
27766,James Orren McKay (P) ,8,520,Fall,2015,CSCE
27769,James Orren McKay (P) ,12,520,Fall,2015,CSCE
28218,Daniel J Pade (P) ,20,520,Fall,2015,CSCE
28320,"Jason Matthew Okane (P), Ioannis M Rekleitis ",13,520,Fall,2015,CSCE
28529,Gabriel Alin Terejanu (P) ,2,520,Fall,2015,CSCE
28749,James Orren McKay (P) ,7,520,Fall,2015,CSCE
28751,James Orren McKay (P) ,11,520,Fall,2015,CSCE
28773,Wenyuan Xu (P) ,1,520,Fall,2015,CSCE
28774,Srihari Nelakuditi (P) ,0,520,Fall,2015,CSCE
28775,Wenyuan Xu (P) ,2,520,Fall,2015,CSCE
28778,Marco Valtorta (P) ,40,520,Fall,2015,CSCE
28779,Gregory James Gay (P) ,3,520,Fall,2015,CSCE
29363,Jeremiah Jeffrey Shepherd (P) ,22,520,Fall,2015,CSCE
29446,Jeremiah Jeffrey Shepherd (P) ,23,520,Fall,2015,CSCE
